127.0.0.1_29001 -> 12:49:00.542190 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:00.588063 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:00.603626 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:00.648695 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:00.665212 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:00.709614 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:00.726482 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:00.770509 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:00.787847 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:00.831183 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:00.848703 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:00.892303 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:00.910714 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:00.953116 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:00.972585 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:01.014139 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:01.034641 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:01.075443 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:01.096105 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:01.136584 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:01.157132 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:01.197380 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:01.218922 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:01.257751 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:01.281295 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:01.318721 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:01.343413 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:01.380855 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:01.405115 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:01.441909 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:01.466434 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:01.503539 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:01.527875 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:01.565287 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:01.589840 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:01.626759 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:01.651117 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:01.687914 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:01.713352 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:01.748896 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:01.774260 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:01.810663 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:01.836010 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:01.871790 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:01.897020 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:01.933390 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:01.958668 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:01.995376 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:02.019868 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:02.056660 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:02.080895 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:02.117615 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:02.142849 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:02.179298 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:02.204427 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:02.240241 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:02.265536 raft.go:442: TICKER representante de nodo 1
